Country Name,Country Code,Indicator Name,Indicator Code,Region,Region_Code,Income Group,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Honduras,HND,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Lower middle income,1,1.015344868,1.030324382,1.043059579,1.055873066,1.068738746,1.081656619,1.094574493,1.107570657,1.120619014,1.133693468,1.146794019,1.159920666,1.173099507,1.186304444,1.199509382,1.215924215,1.232626112,1.249380203,1.266108197,1.282862288,1.299616378,1.316266082,1.332759206,1.349095749,1.365275712,1.381299094,1.3971398,1.412797829,1.42827318
Iceland,ISL,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.002683264,1.005321992,1.007882783,1.010399038,1.012425403,1.0144295,1.016377928,1.018304088,1.020196847,1.022056204,1.023871025,1.025663579,1.027289124,1.028781064,1.030239601,1.031687005,1.033101007,1.034492741,1.035862207,1.03722054,1.038545471,1.039848134,1.041139663,1.042397791,1.043622517,1.044802708,1.045938363,1.04705175,1.048109468
India,IND,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,South Asia,SAS,Lower middle income,1,1.0096807,1.01944275,1.02928615,1.039129551,1.048525524,1.056904617,1.065324385,1.073784828,1.082245272,1.090787065,1.099369534,1.107992678,1.116656498,1.125360992,1.13557047,1.148830588,1.162172056,1.17563555,1.189139719,1.202725239,1.216432784,1.230262355,1.244132601,1.258084198,1.27215782,1.286597519,1.301362619,1.316493797,1.331991051
Indonesia,IDN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Lower middle income,1,1.03272363,1.066152191,1.100100174,1.134715987,1.172893555,1.213334323,1.254331614,1.296070938,1.338478091,1.381478871,1.424924869,1.468964494,1.513449338,1.5583423,1.587281564,1.616369235,1.645568211,1.674952695,1.70433718,1.733832969,1.763365859,1.793010055,1.822580047,1.852261344,1.881497421,1.91028828,1.938633918,1.966497236,1.993915334
Ireland,IRL,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.002126679,1.004253358,1.006380038,1.008506717,1.010987842,1.014869032,1.018750222,1.022613689,1.026477156,1.030446957,1.034895261,1.039325843,1.043774147,1.048204728,1.052617588,1.057119059,1.062010421,1.066919505,1.071793145,1.076666785,1.08150498,1.086343175,1.091145926,1.095948676,1.100751427,1.105625066,1.11060504,1.115655903,1.120777656
Israel,ISR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,High income,1,1.001200854,1.00237947,1.003546967,1.004703345,1.005859722,1.006993862,1.008116883,1.009239904,1.010340687,1.011196851,1.011930706,1.012653442,1.013376179,1.014087796,1.014799413,1.015499911,1.016200409,1.016900907,1.017590286,1.018279666,1.018957926,1.019636186,1.020314446,1.020992706,1.021682085,1.022382583,1.023083081,1.023794698,1.024506316
Italy,ITA,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,0.999700626,0.999401251,0.999101877,0.998802503,0.998503128,0.999042002,0.999940125,1.000838248,1.001736371,1.002634494,1.003532617,1.00443074,1.005328863,1.006226986,1.007125109,1.00862198,1.010403257,1.012184534,1.013950843,1.015717151,1.01748346,1.019249768,1.021001108,1.022767416,1.024518756,1.026255127,1.028141185,1.030161962,1.032302488
Jamaica,JAM,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,1.004195114,1.008390228,1.012585342,1.016780456,1.021140084,1.026075512,1.03101094,1.035925804,1.040861232,1.04579666,1.050732089,1.055667517,1.060582381,1.065517809,1.070432673,1.074504401,1.078329358,1.082195443,1.0860204,1.089865921,1.093690878,1.097536399,1.101361356,1.105186312,1.109031834,1.113082997,1.117380933,1.121905075,1.126675989
Japan,JPN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,High income,1,1.001652893,1.00329277,1.004919633,1.006559511,1.008303508,1.010086549,1.011856576,1.013613588,1.015370599,1.017049522,1.018702414,1.020342292,1.021969155,1.023609032,1.041062016,1.062627709,1.082787792,1.101581311,1.11899525,1.133038329,1.145480575,1.157141928,1.167996356,1.178134965,1.187583783,1.196095529,1.203761307,1.210659205,1.216867313
Jordan,JOR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,Upper middle income,1,1.018897753,1.037371002,1.055331918,1.072839054,1.089877772,1.106433433,1.122447486,1.137963844,1.14711264,1.151430872,1.155690551,1.159906316,1.164092805,1.16823538,1.172319403,1.176374149,1.180384981,1.184351899,1.188274903,1.192153993,1.195989168,1.199795067,1.203542414,1.207245846,1.210920003,1.214520969,1.218048745,1.22150333,1.224899363
Kenya,KEN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Lower middle income,1,1.006242274,1.012546354,1.018850433,1.035105068,1.053337454,1.071817058,1.090543881,1.109517923,1.128739184,1.148269468,1.167985167,1.188009889,1.208281829,1.229419036,1.250865266,1.272620519,1.294684796,1.317058096,1.339616811,1.362484549,1.38566131,1.409147095,1.432818294,1.456798517,1.481273177,1.50618047,1.531520396,1.557292954,1.583559951
Kiribati,KIR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Lower middle income,1,1.008513657,1.017056876,1.025629656,1.034261558,1.042686532,1.051052383,1.059447795,1.067843207,1.076297742,1.105179142,1.145559891,1.186531867,1.227976824,1.269894762,1.285118836,1.285680501,1.286271728,1.286862954,1.287424619,1.288015845,1.288961807,1.290262504,1.291947499,1.29398723,1.296411257,1.299160459,1.302323519,1.305811754,1.309684285
"Korea, Rep.",KOR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,High income,1,1.028254773,1.055639707,1.082019826,1.107455121,1.124371991,1.137089638,1.149462349,1.16156511,1.173367927,1.179711753,1.183356079,1.186955413,1.19053975,1.194094093,1.198878208,1.204262211,1.209556232,1.214805261,1.219949309,1.222693802,1.224238516,1.225768233,1.22729795,1.22881267,1.230327389,1.231887101,1.233506801,1.235171493,1.236881177
Lao PDR,LAO,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Lower middle income,1,1.022736932,1.045898853,1.069414931,1.093426831,1.11786372,1.142725599,1.168012466,1.193795155,1.230910894,1.291542711,1.354299476,1.419393682,1.486825329,1.55666525,1.628630118,1.70307409,1.77971384,1.858761864,1.939793172,2.0213203,2.102847429,2.184374557,2.265547528,2.346153846,2.42612268,2.505170704,2.583156254,2.659796005,2.735089956
Luxembourg,LUX,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.000681325,1.001375039,1.002056364,1.002750077,1.005017033,1.009947352,1.014022917,1.021765252,1.026856612,1.026014246,1.02544441,1.026856612,1.033731806,1.043245587,1.051012697,1.056661505,1.06216166,1.067537937,1.072753174,1.077844534,1.082799628,1.087643233,1.092325797,1.096896872,1.101344069,1.105568287,1.109544751,1.113310622,1.11687829
Madagascar,MDG,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.024111557,1.048736125,1.073640519,1.099057924,1.124848428,1.15105867,1.177642011,1.190933682,1.203059416,1.215278426,1.227544072,1.239902994,1.252355191,1.264854025,1.277446134,1.290131518,1.302863539,1.315688835,1.343811212,1.372306688,1.401128626,1.430370301,1.459658614,1.489086839,1.518608339,1.548176476,1.577837888,1.6074993,1.63720735
Malawi,MWI,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.023173077,1.051346154,1.081057692,1.111538462,1.142788462,1.174807692,1.2075,1.241057692,1.275288462,1.310480769,1.346346154,1.383076923,1.396346154,1.404807692,1.413269231,1.421730769,1.430288462,1.438846154,1.4475,1.456153846,1.464903846,1.473653846,1.483365385,1.494230769,1.506057692,1.519038462,1.533076923,1.548269231,1.564615385
Malaysia,MYS,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Upper middle income,1,1.016691307,1.033446894,1.050159628,1.066915215,1.083670802,1.11019691,1.137944334,1.165648904,1.193203488,1.22065094,1.247819845,1.274795912,1.301493433,1.327955261,1.348203381,1.368215809,1.38801397,1.407597866,1.42688179,1.445930021,1.464721133,1.483255126,1.501467721,1.51940177,1.537035847,1.553984273,1.570225622,1.58578132,1.600672795
Mali,MLI,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.024178578,1.04334509,1.062697234,1.082327826,1.102236867,1.122424355,1.142751067,1.163402636,1.184286245,1.205448301,1.226749582,1.250603304,1.282996102,1.315945795,1.349313161,1.383237423,1.417625766,1.452571004,1.487841099,1.52366809,1.559866345,1.596575088,1.63356228,1.670503063,1.707304622,1.743966957,1.780350845,1.8165491,1.852422499
Mauritius,MUS,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Upper middle income,1,1.00736415,1.014775206,1.022162809,1.029573864,1.026689181,1.023781046,1.020896362,1.018011679,1.015126996,1.012242313,1.00935763,1.0064964,1.003611717,1.000727034,0.995801965,0.990876897,0.985951828,0.98102676,0.976125144,0.971223528,0.966321912,0.961443749,0.956565585,0.951687422,0.946832712,0.941954549,0.937615798,0.933746101,0.930392364
Mexico,MEX,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,1.007256079,1.014440173,1.021552283,1.028218085,1.033933687,1.039591702,1.045192128,1.05076376,1.056277804,1.060625693,1.064354511,1.068054536,1.071725766,1.075771318,1.080421544,1.085028578,1.089592421,1.094127471,1.098604932,1.1030536,1.107459077,1.111835759,1.116154854,1.120445155,1.124663471,1.128824198,1.132912941,1.136944097,1.140903267
Mongolia,MNG,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Lower middle income,1,1.01055224,1.021068527,1.02606601,1.025257065,1.024430143,1.023621198,1.022794276,1.021985331,1.021158409,1.020349464,1.019522543,1.018713597,1.017886676,1.027054721,1.046631193,1.066081829,1.085388653,1.104533688,1.123427051,1.142140649,1.160638527,1.178920687,1.196879269,1.214622133,1.232077371,1.248867477,1.26493852,1.280326454,1.295031279
Morocco,MAR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,Lower middle income,1,1.01584685,1.031759638,1.047650446,1.063585213,1.079541958,1.095520682,1.111455449,1.127412194,1.136137852,1.143390918,1.150600026,1.157809134,1.165040222,1.17224933,1.179436459,1.186645567,1.193832696,1.201019825,1.211613697,1.222910897,1.234186118,1.24543936,1.256648644,1.267835949,1.278979296,1.290100664,1.301156095,1.31212361,1.323025188
Mozambique,MOZ,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.065196254,1.133616499,1.204902513,1.279361343,1.304283302,1.329512307,1.35504836,1.380891459,1.407041605,1.433549972,1.460263037,1.470856149,1.479965201,1.489074254,1.498234481,1.507445883,1.516657285,1.525919861,1.535182437,1.544547362,1.553861113,1.563277212,1.573358579,1.584105215,1.595568292,1.607747812,1.620643775,1.634205005,1.648533852
Namibia,NAM,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Upper middle income,1,1.009616468,1.019345629,1.029074791,1.03887908,1.048758499,1.064422824,1.082716652,1.101235866,1.119905338,1.138800195,1.15784531,1.177078246,1.19646144,1.21607002,1.235791293,1.26839713,1.303820292,1.339769355,1.376056497,1.41279441,1.449907967,1.487434732,1.525149318,1.563277112,1.601630292,1.640283986,1.678336652,1.715863416,1.752751587
Nepal,NPL,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,South Asia,SAS,Low income,1,1.037075718,1.075456919,1.115013055,1.155874674,1.19843342,1.251305483,1.30613577,1.363185379,1.42232376,1.483942559,1.547650131,1.613707572,1.682245431,1.753394256,1.823368146,1.862010444,1.901305483,1.941383812,1.982114883,2.023498695,2.065535248,2.108355091,2.151827676,2.196083551,2.240992167,2.28694517,2.33381201,2.381592689,2.430156658
Netherlands,NLD,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.005900145,1.011755591,1.017566339,1.023347289,1.032957373,1.046277396,1.05934413,1.072187374,1.084807128,1.097188492,1.109301667,1.121176453,1.13279795,1.144195956,1.159616789,1.178732661,1.197029069,1.214506012,1.231133692,1.246122443,1.25957656,1.272434704,1.284950162,1.297152733,1.308714633,1.319710357,1.330080308,1.339600995,1.348332017
New Zealand,NZL,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,High income,1,1.002924326,1.005824779,1.008665553,1.011482454,1.013762234,1.014967773,1.016161375,1.017354977,1.018536644,1.019587014,1.020350919,1.021114825,1.02187873,1.022642635,1.023681069,1.025304369,1.026497971,1.026808307,1.027118644,1.027428981,1.027739317,1.028049654,1.028264502,1.028467415,1.028682263,1.028885175,1.029159704,1.029493913,1.029887801
Nicaragua,NIC,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Lower middle income,1,1.00467126,1.00934252,1.01401378,1.018665577,1.023336837,1.028008097,1.032659893,1.03731169,1.041963486,1.04665421,1.051344934,1.056016194,1.060687454,1.065378177,1.070029974,1.074701234,1.07935303,1.084024291,1.088656623,1.093483592,1.09846627,1.103604656,1.108918214,1.114387481,1.120012457,1.125793141,1.131729534,1.137821636,1.144049982
Niger,NER,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.015579489,1.030210662,1.035629615,1.04098083,1.04646752,1.051886473,1.057373163,1.062859852,1.068414279,1.073968706,1.079523132,1.085145296,1.090767459,1.096389623,1.102079523,1.10851453,1.115694642,1.123755334,1.132561133,1.142247511,1.152746732,1.164058796,1.176319176,1.1893924,1.20341394,1.21831606,1.234166497,1.251032988,1.268847795
Norway,NOR,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.001819709,1.00362542,1.005431131,1.007222844,1.011548152,1.017147256,1.02269037,1.028177492,1.032530795,1.036380179,1.040159574,1.041083427,1.051035834,1.064963606,1.071682531,1.07781355,1.081047032,1.081676932,1.08468645,1.090271557,1.095100784,1.09918813,1.103233483,1.10725084,1.111212206,1.115131579,1.118966965,1.122732363,1.126441769
Oman,OMN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,High income,1,1.031199104,1.061923181,1.091985613,1.121437296,1.150176439,1.178186075,1.205279587,1.216205212,1.215882872,1.215543567,1.215204262,1.214864957,1.214525651,1.214186346,1.213847041,1.213507736,1.213168431,1.218563382,1.228284473,1.237903773,1.247404316,1.256786102,1.266015201,1.275125543,1.284117128,1.292820304,1.301218105,1.309344463,1.317199376
Pakistan,PAK,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,South Asia,SAS,Lower middle income,1,1.008280384,1.016628363,1.024976342,1.033391916,1.041841287,1.050324456,1.058841422,1.067392186,1.075976747,1.084628904,1.09328106,1.101967014,1.111058537,1.120555631,1.130390699,1.140665135,1.151311342,1.16236312,1.17378667,1.18561579,1.19785048,1.210490739,1.223502771,1.236920373,1.250743545,1.264972286,1.2795728,1.294545086,1.309922942
Panama,PAN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,1.006440303,1.012899661,1.019339964,1.02707595,1.043348196,1.059582333,1.0757212,1.091821958,1.107827446,1.123775771,1.139571663,1.155291338,1.170896688,1.18513014,1.190770169,1.196391144,1.201993064,1.207594985,1.213158797,1.218703556,1.224248314,1.229754964,1.235242559,1.240711101,1.246236805,1.251819672,1.2574597,1.263137838,1.268854083
Peru,PER,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,Upper middle income,1,1.006094208,1.012158687,1.018163711,1.024139007,1.030069712,1.035970688,1.041797345,1.048218559,1.054610045,1.060942075,1.067199786,1.073412905,1.079581432,1.085690503,1.091725255,1.097700551,1.103631256,1.109502505,1.115299434,1.121051771,1.126729789,1.132363215,1.137862865,1.143258469,1.148520297,1.153678077,1.158702082,1.16362204,1.168437951
Philippines,PHL,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,Lower middle income,1,1.025936404,1.0520086,1.078103429,1.099694466,1.09833654,1.096978613,1.095620686,1.094262759,1.092904832,1.091546905,1.090188978,1.088831051,1.087473124,1.085323073,1.07918977,1.073079099,1.066945796,1.060812493,1.054724454,1.048613783,1.042503112,1.036392441,1.030304402,1.024216363,1.01882992,1.014145072,1.010139188,1.006857531,1.004254838
Portugal,PRT,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.011392405,1.022850284,1.034286338,1.045722392,1.057813182,1.072239197,1.086621563,1.101025753,1.115429943,1.129855958,1.144216499,1.158577041,1.172915757,1.187232649,1.201309472,1.21488433,1.228437364,1.241968573,1.255390659,1.268812746,1.282169358,1.295482322,1.308686163,1.321846355,1.334941074,1.347839371,1.360497599,1.372937582,1.385159319
Rwanda,RWA,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.013848254,1.027891555,1.041934855,1.056368247,1.070996684,1.226448215,1.426370197,1.655939146,1.918665886,2.218451336,2.431441389,2.583187049,2.743124634,2.911254145,3.087380534,3.272283987,3.432416618,3.59391457,3.760873805,3.933684416,4.112541447,4.2974449,4.483713673,4.671737858,4.860932319,5.050516871,5.240686561,5.430271114,5.619465574
Saudi Arabia,SAU,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,High income,1,1.00932341,1.01849797,1.027469553,1.036305819,1.044966171,1.053464141,1.057997294,1.061285521,1.064546685,1.067794317,1.071001353,1.074194858,1.077347767,1.080487145,1.083585927,1.086657645,1.089715832,1.092746955,1.09579161,1.098836265,1.101853857,1.104857916,1.107807848,1.110744249,1.113640054,1.116508796,1.119336942,1.122138024,1.124898512
Senegal,SEN,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.009549184,1.018597167,1.022369358,1.02614155,1.02994012,1.03373869,1.03753726,1.041335831,1.045134401,1.04895935,1.052784299,1.056609248,1.060434198,1.064259147,1.068084096,1.071935424,1.075786752,1.080033765,1.084676462,1.089741222,1.095201667,1.101057796,1.10730961,1.113983487,1.121026669,1.128518294,1.136379224,1.144662217,1.153314516
Seychelles,SYC,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,High income,1,0.999695598,0.999391197,0.999370903,0.999614425,1.000121761,1.000913205,1.001988757,1.003328125,1.004931307,1.006818597,1.008989995,1.011425209,1.014124236,1.017107373,1.020354324,1.023885383,1.027680257,1.031738945,1.036081742,1.040688354,1.04555878,1.050693021,1.056091077,1.061732654,1.06765834,1.073827546,1.080240274,1.086896524,1.093552773
Sierra Leone,SLE,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Low income,1,1.007115236,1.014292343,1.021469451,1.028677494,1.035885538,1.043155452,1.050425367,1.057757154,1.06508894,1.072451663,1.079814385,1.087208043,1.094632637,1.102119103,1.109574633,1.117061098,1.1245785,1.132126837,1.139675174,1.147594741,1.155885538,1.1645785,1.173611756,1.183016241,1.192791957,1.202938902,1.213488012,1.224377417,1.235638051
Singapore,SGP,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,East Asia & Pacific,EAS,High income,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,ZAF,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Sub-Saharan Africa,SSF,Upper middle income,1,1.010700331,1.021380623,1.032060916,1.04272117,1.053080854,1.062779281,1.07245767,1.082136059,1.091794409,1.101432722,1.111091073,1.120729386,1.130367699,1.139985973,1.149544134,1.160164312,1.171145176,1.182106001,1.192986675,1.203827272,1.214627793,1.225408276,1.236088568,1.246728785,1.257308887,1.267848913,1.278188558,1.288407975,1.298487126
Spain,ESP,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,High income,1,1.003076138,1.00612541,1.009161249,1.012183655,1.014561281,1.01566278,1.016764279,1.017865778,1.018967277,1.020068777,1.021156843,1.022244909,1.023332975,1.024421041,1.025509108,1.028061362,1.031352426,1.034630057,1.03786739,1.041077857,1.044274891,1.047445059,1.050588362,1.053704798,1.056807802,1.05988394,1.062933212,1.065969051,1.068978024
Albania,ALB,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Europe & Central Asia,ECS,Upper middle income,1,1.007609618,1.015219236,1.022857143,1.03049505,1.038189533,1.053719943,1.069278642,1.084978784,1.100735502,1.116633663,1.132531825,1.14854314,1.164611033,1.180792079,1.200424328,1.230579915,1.260905233,1.291400283,1.321951909,1.35261669,1.383366337,1.41417256,1.444865629,1.475615276,1.506280057,1.536916549,1.566704385,1.59572843,1.623960396
Algeria,DZA,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Middle East & North Africa,MEA,Upper middle income,1,1.017642243,1.033790422,1.049897667,1.066004912,1.082091691,1.098178469,1.114183381,1.13014736,1.146070405,1.161972984,1.177732296,1.193471142,1.209946787,1.226340565,1.24257061,1.258718788,1.274744167,1.290646746,1.306385591,1.322001637,1.33745395,1.352783463,1.367621777,1.382030291,1.396009005,1.409537454,1.422636103,1.435304953,1.447544003
Antigua and Barbuda,ATG,Relative Urban population (% of total),SP.URB.TOTL.IN.ZS.REL,Latin America & Caribbean,LCN,High income,1,1.002307561,1.004615122,1.006922682,1.009230243,1.010341291,0.999515697,0.988804057,0.978120905,0.96749473,0.956925531,0.94641331,0.935986553,0.925588286,0.915246994,0.904221982,0.885960914,0.867899265,0.850008547,0.832402712,0.814967808,0.797760811,0.780753233,0.76403054,0.747507265,0.731211897,0.716056065,0.70203977,0.689134522,0.677254857
